tytuł;klasa;katsiedlecki;nr;tonacja;naco;tekst
Przyjdźcie do mnie wszyscy;1;Pieśni przygodne;951;Es;0/0/1/0/0/0;"1.
Przyjdźcie do Mnie wszyscy – głos z przybytku woła
we Mnie źródło szczęścia, Ja orzeźwię was
I ocierać będę pot płynący z czoła
i ziemskiego znoju wam osłodzę czas
*
O, pójdźmy wszyscy z pokłonem
ofiarę serc naszych nieść
Przed Jego padając tronem
miłosną złóżmy Mu cześć
2.
Przyjdźcie do Mnie wszyscy, o biedni grzesznicy
Ja dla was tu jestem, by łańcuchy te
które ciążą na was, grzechu niewolnicy
skruszyło na zawsze miłosierdzie Me
*
O, pójdźmy wszyscy z pokłonem…
3.
?
4.
?"
Przyjmij, o Najświętszy Panie;1;Pieśni mszalne;954;cis;0/1/0/0/0/0;"1.
Przyjmij, o Najświętszy Panie
Tę ofiarę chleba, wina
Co się wkrótce Ciałem stanie
I Krwią świętą Twego Syna
2.
Przyjmij nasze wyrzeczenia
Które w chlebie tym niesiemy
Przyjmij trudy i cierpienia
Które w winie dać Ci chcemy
3.
Chwała Ojcu i Synowi
I Duchowi również chwała
Bogu w Trójcy Jedynemu
Niechaj śpiewa ziemia cała"
Radośnie Panu hymn śpiewajmy;1;Pieśni przygodne;973;C;1/0/0/1/0/0;"*
Radośnie Panu hymn śpiewajmy, Alleluja!
I dobroć Jego wysławiajmy, Alleluja!
**
1.
Wychwalajcie ze mną dzieła Bożej mocy, Alleluja!
Wychwalajcie pana nad wszystko na wieki, Alleluja!
Wychwalajcie Pana, aniołowie Pańscy, Alleluja!
Wychwalajcie Pana, Zastępy niebieskie, Alleluja!
*
Radośnie Panu hymn śpiewajmy…
2.
Wychwalajcie Pana, słońce i księżycu. Alleluja!
Wychwalajcie Pana, wszystkie gwiazdy nieba. Alleluja!
Wychwalajcie Pana, rzeki, oceany. Alleluja!
Wychwalajcie Pana, pagórki i góry. Alleluja!
*
Radośnie Panu hymn śpiewajmy…
3.
Wychwalajcie Pana, rośliny, zwierzęta. Alleluja!
Niech wychwala Pana, cały rodzaj ludzki. Alleluja!
Wychwalajcie Pana, ludzie sprawiedliwi. Alleluja!
Wychwalajcie Pana, pokorni i święci. Alleluja!
*
Radośnie Panu hymn śpiewajmy…
4.
Wychwalajcie Pana, kapłani Kościoła. Alleluja!
Niech cały Lud Boży sławi Jego dobroć. Alleluja!
Wychwalajcie Ojca, wraz z Synem i Duchem. Alleluja!
Wychwalajmy Pana, Stwórcę nieba, ziemi. Alleluja!
*
Radośnie Panu hymn śpiewajmy…"
Rozmyślajmy dziś;7;Pieśni na Wielki Post;985;c;0/1/1/0/0/0;"1.
Rozmyślajmy dziś, wierni chrześcijanie, * jako Pan Chrystus za nas cierpiał rany;
od pojmania nie miał odpocznienia, * aż do skonania.
2.
Naprzód w Ogrojcu wziął pocałowanie, * tam Judasz zdrajca dał był katom znamię:
oto patrzajcie, mego Mistrza macie, * Tego imajcie.
3.
Wnet się rzucili jako lwy zaciekli, * apostołowie od Niego uciekli;
On zaś był śpiesznie wiedzion do Annasza, * pociecha nasza.
4.
Przed sąd Piłata gdy był postawiony, * niesprawiedliwie został oskarżony;
rozkazał Piłat, by był biczowany * ten Pan nad pany.
5.
Koronę z ciernia żołnierze uwili, * naszemu Panu na głowę wtłoczyli; 
naśmiewając się przed Nim przyklękali, * królem Go zwali.
6.
Krzyknęła potem tłuszcza zbuntowana: * „Nie chcemy Tego za swego mieć pana;
niechaj na krzyżu swój żywot położy * ten to Syn Boży!”.
7.
Krzyż niosąc, na śmierć szedł nieustraszenie, * oprawcy niecni zwlekli zeń odzienie;
do krzyża Zbawcę okrutnie przybili, * octem poili.
8.
Z wołaniem głośnym po tak srogiej męce * skonał, oddając ducha w Ojca ręce; 
zagasło słońce, strach ludzi oniemia, * trzęsła się ziemia.
9.
…"
Rzućmy się wszyscy społem;1;Pieśni do Najświętszego Sakramentu;990;G;0/0/1/0/0/0;"1.
Rzućmy się wszyscy społem
Uderzmy w ziemię czołem
Dając pokłon Najwyższemu
W Sakramencie ukrytemu
Bogu naszemu
2.
Wszak pod utratą nieba
Wierzyć każdemu trzeba
Że pod tymi przymiotami
Chleba, wina, jest Bóg z nami
Choć utajony
3.
A jeśli kto nie wierzy
Ma z ostatniej wieczerzy
Jasny dowód, co się stało
Że wino w Krew, a chleb w Ciało
Bóg swe przemienił
4.
I tę moc dał kapłanom
Nie królom ani panom
Aby oni poświęcali
I nam grzesznym rozdawali
Ciało, Krew Pańską.
5.
…"
Schowaj mnie;1;;1295;B;0/0/1/0/0/0;"1.
Schowaj mnie pod skrzydła Twe
Ukryj mnie w silnej dłoni Swej.
*
Kiedy fale mórz chcą porwać mnie
Z Tobą wzniosę się, podniesiesz mnie
Panie Królem Tyś spienionych wód
Ja ufam Ci - Ty jesteś Bóg.
2.
Odpocznę dziś w ramionach Twych
Dusza ma w Tobie będzie trwać.
*
Kiedy fale mórz chcą porwać mnie…"
Serce me do Ciebie wznoszę;1;Pieśni na Wielki Post;999;d;0/1/0/0/0/0;"*
Serce me do Ciebie wznoszę, Panie, szukam Cię
**
1.
Usłysz, Panie, głos wołania i ulituj się
Serce me do Ciebie wznoszę, Panie, szukam Cię
*
Serce me do Ciebie wznoszę, Panie, szukam Cię
2.
Nie ukrywaj się przede mną, nie odpychaj mnie
Nie opuszczaj mnie, Wybawco, wstrzymaj srogi gniew 
*
Serce me do Ciebie wznoszę, Panie, szukam Cię
3.
Choćby o mnie zapomnieli ojciec, matka ma
Ty mnie przyjmiesz i przygarniesz w utrapienia dniu 
*
Serce me do Ciebie wznoszę, Panie, szukam Cię
4.
Wskaż mi drogę Twoją, Panie, prowadź ścieżką Twą
Bo wróg czyha na bezdrożach, wyrwij z jego rąk 
*
Serce me do Ciebie wznoszę, Panie, szukam Cię"
Serce Twe, Jezu;4;Pieśni do Serca Jezusowego;1002;G;0/0/0/0/1/0;"1.
Serce Twe Jezu, miłością goreje,
Serce Twe w ogniu miłości topnieje.
A nasze serca zimne jak lód,
I próżny zda się Twej męki trud.
2.
Kiedyż, o kiedyż, słodki mój Panie,
Poznamy Serca Twego kochanie?
Kiedyż Twa miłość rozpali nas,
dobry Jezu, czas to już czas!
3.
Rzuć tej miłości iskrę choć jedną,
Ziemię serc naszych suchą i biedną.
By Ci wydała obfity plon,
Za Twój na krzyżu bolesny zgon.
4.
Gdy już na krzyżu, Jezu, skonałeś,
Z miłości jeszcze zranion być chciałeś,
By w Sercu Twoim otworzyć drzwi
I nam ostatnią dać kroplę krwi."
Serdeczna Matko;3;Pieśni ku czci NMP;1005;C;0/0/0/0/1/0;"1.
Serdeczna Matko, Opiekunko ludzi
Niech Cię płacz sierot do litości wzbudzi.
Wygnańcy Ewy do Ciebie wołamy,
Zlituj się, zlituj, niech się nie tułamy.
2.
Do kogóż wzdychać mamy nędzne dziatki?
Tylko do Ciebie, ukochanej Matki,
U której serce otwarte każdemu,
A osobliwie nędzą strapionemu.
3.
Dla Twego Syna wszystko Bóg uczyni,
Daruje plagi, choć człowiek zawini,
Jak Cię cna Matko nie kochać serdecznie,
Gdy się skryć można pod Twój płaszcz bezpiecznie.
4.
Ratuj nas, ratuj Matko ukochana,
Zagniewanego, gdy zobaczysz Pana,
Mieczem przebite pokazuj Mu serce,
Gdy Syna na krzyż wbijali morderce.
5.
Dla tych boleści, któreś wycierpiała,
Kiedyś pod krzyżem Syna Swego stała.
Bóg nam daruje byśmy nie cierpieli,
Cośmy wytrzymać za złość naszą mieli."
Skosztujcie i zobaczcie;1;Pieśni do Najświętszego Sakramentu;1009;g;0/0/0/1/0/0;"*
Skosztujcie i zobaczcie, jak dobry jest Pan
**
1.
Będę Panu w każdej porze śpiewał pieśń wdzięczności
Na mych ustach chwała Jego nieustannie gości
*
Skosztujcie i zobaczcie, jak dobry jest Pan
2.
W Panu cała chluba moja, cieszcie się, pokorni
Wspólnie ze mną chwalcie Pana, sławmy Imię Jego 
*
Skosztujcie i zobaczcie, jak dobry jest Pan
3.
Kiedym tęsknie szukał Pana, raczył mnie wysłuchać
I od wszelkiej trwogi mojej raczył mnie uwolnić 
*
Skosztujcie i zobaczcie, jak dobry jest Pan
4.
Cieszcie się widokiem Jego, On was nie zawiedzie
Pan usłyszał głos biednego, wyrwał go z uścisków 
*
Skosztujcie i zobaczcie, jak dobry jest Pan
5.
Tych, co Pana się lękają, Anioł Pański broni
By ich wyrwać z ręki wroga, szańcem ich osłoni 
*
Skosztujcie i zobaczcie, jak dobry jest Pan
6.
Więc skosztujcie i zobaczcie, jaki Pan jest dobry
Kto do Niego się ucieka, ten błogosławiony 
*
Skosztujcie i zobaczcie, jak dobry jest Pan
7.
Z czcią i lękiem służcie Panu, święty ludu Boży
Bo nie zazna niedostatku, kto się boi Pana 
*
Skosztujcie i zobaczcie, jak dobry jest Pan
8.
W nędzy znajdą się bogacze, będą łaknąć chleba
Ci zaś, co szukają Pana, obfitować będą 
*
Skosztujcie i zobaczcie, jak dobry jest Pan "
Sław, języku, tajemnicę;2;Śpiewy na Wielki Tydzień/Nieszpory;1333;G;0/0/0/0/0/Wielki Piątek;"1.
Sław, języku, tajemnicę
Ciała i najdroższej Krwi,
którą, jako łask krynicę,
wylał w czasie ziemskich dni
Ten, co Matkę miał Dziewicę,
Król narodów godzien czci.
2.
Z Panny czystej narodzony,
posłan zbawić ludzki ród,
gdy po świecie na wsze strony
ziarno słowa rzucił w lud,
wtedy cudem niezgłębionym
zamknął swej pielgrzymki trud.
3.
W noc ostatnią przy wieczerzy,
z tymi, których braćmi zwał,
pełniąc wszystko, jak należy,
czego przepis prawny chciał.
Sam Dwunastu się powierzył
i za pokarm z rąk swych dał.
4.
Słowem więc, Wcielone Słowo,
chleb zamienia w Ciało swe.
Wino Krwią jest Chrystusową,
darmo wzrok to widzieć chce:
tylko wiara Bożą mową
pewność o tym w serca śle."
Spuśćcie nam;5;Pieśni na Adwent;1027;F;0/0/0/0/0/od 17 grudnia;"1.
„Spuśćcie nam na ziemskie niwy
Zbawcę z niebios, obłoki”.
Świat przez grzechy nieszczęśliwy
wołał w nocy głębokiej;
gdy wśród przekleństwa od Boga
czart panował, śmierć i trwoga,
a ciężkie przewinienia
zamkły bramy zbawienia.
2.
Ale Ojciec się zlitował
nad nędzną ludzi dolą,
Syn się chętnie ofiarował,
by spełnić wieczną wolę;
zaraz Gabryjel zstępuje
i Maryi to zwiastuje,
iże z Ducha Świętego
pocznie Syna Bożego.
3.
Panna przeczysta w pokorze
wyrokom się poddaje,
iszczą się wyroki Boże,
Słowo Ciałem się staje.
Ach! Ciesz się, Adama plemię,
Zbawiciel zejdzie na ziemię;
drżyj, piekło, On twe mocy
w wiecznej pogrąży nocy."
Szczęśliwy, kogo;1;Pieśni przygodne;;e;1/0/1/0/0/0;"1.
Szczęśliwy, kogo opatrzność Boska
ma w swej opiece, niech się nie troska:
w żadnym przypadku ten nie szkoduje,
kogo opatrzność Boska piastuje.
2.
Nie tak miedziany mur jest bezpieczny,
ani też diament tak długowieczny,
jak kto przy Bogu łaskawym stoi,
żadnych się nieszczęść niechaj nie boi.
3.
Niechaj się na mnie i świat oburzy,
niechaj me serce w żalach zanurzy;
gdy tylko spojrzy Niebieskie Oko,
wyjdę z tej toni pewnie wysoko.
4.
Boże Wszechmocny, nadzieje w Tobie
nasze składamy, niech w każdej dobie
przy nas opatrzność Twoja zostanie,
bo nic bez Ciebie nie poczniem, Panie."
Święty X, patronie nasz;2;Pieśni ku czci św. Józefa;1328/1329/1288/1327/1330;Es;0/0/0/0/1/0;"Święty X, patronie nasz
Święty X, patronie nasz
Módl się, módl się, módl się za nami"
Święty Boże;2;Nabożeństwa;1047;e;0/0/0/0/0/0;"Święty Boże, Święty Mocny,
Święty, a Nieśmiertelny
Zmiłuj się nad nami
1.
Od powietrza, głodu, ognia i wojny
Wybaw nas, Panie
2.
Od nagłej i niespodzianej śmierci
Zachowaj nas Panie
3.
My grzeszni Ciebie, Boga, prosimy
Wysłuchaj nas Panie"
Tryumfy Króla Niebieskiego;6;Pieśni na Boże Narodzenie;1067;F;0/0/0/0/0/0;"1.
Tryumfy Króla Niebieskiego * zstąpiły z nieba wysokiego.
Pobudziły pasterzów, * dobytku swego stróżów, * śpiewaniem, śpiewaniem, śpiewaniem.
2.
Chwała bądź Bogu w wysokości, * a ludziom pokój na niskości.
Narodził się Zbawiciel, * dusz ludzkich Odkupiciel * na ziemi, na ziemi, na ziemi.
3.
Zrodziła Maryja Dziewica, * wiecznego Boga bez rodzica,
by nas z piekła wybawił, * a w niebieskich postawił * pałacach, pałacach, pałacach."
Twemu Sercu cześć składamy;4;Pieśni do Serca Jezusowego;1069;As;0/0/0/1/1/0;"1.
Twemu Sercu cześć składamy,
O Jezu nasz, o Jezu;
Twej litości przyzywamy,
O Zbawicielu drogi.
*
Chwała niech będzie zawsze i wszędzie,
Twemu Sercu, o mój Jezu.
2.
Serce to nam otworzone,
O Jezu nasz, o Jezu;
Włócznią na krzyżu zranione,
O Zbawicielu drogi.
*
Chwała niech będzie zawsze i wszędzie…
3.
Gdy nas ciśnie utrapienie,
O Jezu nasz, o Jezu;
W Nim ucieczka, w Nim schronienie,
O Zbawicielu drogi.
*
Chwała niech będzie zawsze i wszędzie…
4.
Więc do Niego się udajmy,
O Jezu nasz, o Jezu;
I ratunku tam szukajmy,
O Zbawicielu drogi.
*
Chwała niech będzie zawsze i wszędzie…
5.
Nie odrzucaj nas od siebie,
O Jezu nasz, o Jezu,
Przyjm na ziemi, przyjmij w niebie,
O Zbawicielu drogi.
*
Chwała niech będzie zawsze i wszędzie…
6.
Byśmy Twymi zawsze byli,
O Jezu nasz, o Jezu;
Twoje Serce wiecznie czcili,
O Zbawicielu drogi.
*
Chwała niech będzie zawsze i wszędzie…"
Twoja cześć, chwała;2;Pieśni do Najświętszego Sakramentu;1070;C;0/0/0/0/0/Procesja;"1.
Twoja cześć, chwała, nasz wieczny Panie,
na wieczne czasy niech nie ustanie!
2.
Tobie dziś dajem z rzeszą tych ludzi
pokłon i pienie, my, Twoi słudzy.
3.
Dziękując wielce Twej wielmożności
za ten dar zacny, Twej wszechmocności;
4.
Żeś się darował nam nic niegodnym
w tym Sakramencie nam tu przytomnym.
5.
Raczyłeś zostać w takiej postaci,
nie szczędząc siebie dla nas, swych braci.
6.
Ciało Twe Święte, co krzyżowali,
i Krew najświętszą, którą przelali.
7.
Przyszedłszy na świat, Pan wiecznej chwały,
użyłeś wiele nędzy niemałej.
8.
Dałeś się potem z wielkiej miłości
na męki srogie bez wszej litości.
9.
Wstępując potem do chwały wiecznej,
zostawiłeś nam ten to dar zacny.
10.
Na co my patrząc w tym Sakramencie,
z pociechą wielką serce nam rośnie.
11.
Tobie my, Boże, teraz śpiewamy,
przed Twą światłością nisko padamy.
12.
Użycz nam łaski, wszechmocny Boże,
bez Twej pomocy człek nic nie może."
U drzwi Twoich;1;Pieśni do Najświętszego Sakramentu;1086;D;0/0/1/0/0/0;"1.
= U drzwi Twoich stoję, Panie, * = czekam na Twe zmiłowanie.
2.
= Który pod postacią chleba * = prawdziwy Bóg jesteś z nieba.
3.
= W tej Hostyi jest Bóg żywy, * = choć zakryty, lecz prawdziwy.
4.
= W tym Najświętszym Sakramencie * = z nieba stawa w tym momencie.
5.
= Jak wielki cud Bóg uczynił, * = gdy chleb w Ciało swe przemienił.
6.
= A nam pożywać zostawił, * = ażeby nas przez to zbawił.
7.
= Święty, Mocny, Nieśmiertelny, * = w majestacie swym niezmierny!
8.
= Aniołowie się lękają, * = gdy na Jego twarz patrzają.
9.
= Wszyscy niebiescy duchowie * = lękają się i królowie;
10.
= Niebo, ziemia ani morze * = pojąć, co jest Bóg, nie może.
11.
= Żaden z wojska anielskiego * = nie dostąpi nigdy tego.
12.
= Czego człowiek dostępuje, * = Ciało i Krew gdy przyjmuje.
13.
= Jam nie godzien, Panie, tego, * = abyś wszedł do serca mego;
14.
= Rzeknij tylko słowo swoje, * = a tym zbawisz duszę moją.
15.
= Kłaniam się Tobie samemu, * = bądź miłościw mnie grzesznemu.
16.
= Niechaj żyję z Tobą, Panem, * = aż na wieki wieków. Amen."
Uczyńcie, co wam mówi Syn;1;;1283;e;0/1/1/0/0/0;"1.
Usłysz Bożej Matki głos,
która wzywa dzisiaj nas,
Chce u Syna znów wyprosić
cud przemiany serc.
*
Uczyńcie, co wam mówi Syn,
Przyobleczcie wiarę w czyn,
Niech się Słowo Boże stanie
Ciałem w każdym z nas.
2.
Serce ludzkie dręczy głód,
ciągle szuka, gdzie jest Bóg,
Naucz, Matko, jak powtórzyć
betlejemską noc.
*
Uczyńcie, co wam mówi Syn…
3.
Bóg ukochał w Synu świat,
chce zamieszkać w każdym z nas,
Naucz, Matko, jak zbudować
Bogu w sercu dom.
*
Uczyńcie, co wam mówi Syn…"
Upadnij na kolana;1;Pieśni mszalne;1095;e;0/0/0/1/0/0;"1.
Upadnij na kolana
Ludu czcią przejęty
Uwielbiaj swego Pana
Święty, święty, święty
2.
Zabrzmijcie z nami, nieba
Bóg nasz niepojęty
W postaci przyszedł chleba
Święty, święty, święty
3.
Powtarzaj, ludzki rodzie
Wiarą przeniknięty
Na wschodzie i zachodzie
Święty, święty, święty
4.
Pan wieczny zawsze, wszędzie
Ku nam łaską zdjęty
Niech wiecznie wielbion będzie
Święty, święty, święty"
Uwielbiaj, duszo moja;2;Nieszpory;1100;Es;0/0/0/0/0/Magnificat;"1.
Uwielbiaj, duszo moja, sławę Pana mego
Chwal Boga Stworzyciela tak bardzo dobrego
Bóg mój, zbawienie moje jedyna otucha
Bóg mi rozkoszą serca i weselem ducha
2.
Bo mile przyjąć raczył swej sługi pokorę
Łaskawym okiem wejrzał na Dawida córę
Przeto wszystkie narody, co ziemię osiądą
Odtąd błogosławioną mnie nazywać będą
3.
Bo wielkimi darami uczczonam od Tego,
Którego moc przedziwna, święte imię Jego
Którzy się Pana boją, szczęśliwi na wieki
Bo z nimi miłosierdzie z rodu w ród daleki
4.
Na cały świat pokazał moc swych ramion świętych
Rozproszył dumne myśli głów pychą nadętych
Wyniosłych złożył z tronu, znikczemnił wielmożne
Wywyższył, uwielmożnił w pokorę zamożne
5.
Głodnych nasycił hojnie i w dobra spanoszył
Bogaczów z torbą puścił i nędznie rozproszył
Przyjął do łaski sługę Izraela cnego
Wspomniał nań, użyczył mu miłosierdzia swego
6.
Wypełnił, co był przyrzekł niegdyś ojcom naszym
Abrahamowi z potomstwem jego, wiecznym czasem
Wszyscy śpiewajmy Bogu w Trójcy Jedynemu
Chwała Ojcu, Synowi, Duchowi Świętemu

Jak była na początku, tak zawsze niech będzie
Teraz i na wiek wieków niechaj słynie wszędzie"
W dzień Bożego Narodzenia;6;Kolędy domowe;1114;D;0/0/0/0/0/0;"1.
W dzień Bożego Narodzenia * Radość wszelkiego stworzenia
Aniołowie się radują, * Jezusowi wyśpiewują
2.
Niesłychana to nowina * Panna porodziła Syna
Syna Jednorodzonego * Boga Ojca Niebieskiego
3.
To anieli oznajmują * Do Betlejem pokazują 
Gdzie narodził się Zbawiciel * Wszego świata Odkupiciel"
W krzyżu cierpienie;1;;1120;G;0/0/0/0/1/0;"1.
W krzyżu cierpienie, w krzyżu zbawienie, * w krzyżu miłości nauka.
Kto Ciebie, Boże, raz pojąć może, * ten nic nie pragnie, ni szuka.
2.
W krzyżu osłoda, w krzyżu ochłoda * dla duszy smutkiem zmroczonej.
Kto krzyż odgadnie, ten nie upadnie * w boleści sercu zadanej.
3.
Kiedy cierpienie, kiedy zwątpienie * serce ci na wskroś przepali
gdy grom się zbliża, pośpiesz do krzyża, * On ciebie wesprze, ocali.
4.
Gdy cię skrzywdzono albo zraniono, * lub serce czyjeś zawiodło,
o, nie rozpaczaj, módl się, przebaczaj, * krzyż niech ci stanie za godło."
W żłobie leży;6;Pieśni na Boże Narodzenie;1130;D;0/0/0/0/0/0;"1.
W żłobie leży, któż pobieży * kolędować Małemu,
Jezusowi Chrystusowi, * dziś nam narodzonemu?
Pastuszkowie, przybywajcie, * Jemu wdzięcznie przygrywajcie,
jako Panu naszemu.
2.
My zaś sami z piosneczkami * za wami pośpieszymy.
A tak Tego Maleńkiego * niech wszyscy zobaczymy.
Jak ubogo narodzony, * płacze w stajni położony,
więc Go dziś ucieszymy.
3.
Naprzód tedy niechaj wszędy * zabrzmi świat w wesołości,
że posłany nam jest dany * Emmanuel w niskości
Jego tedy przywitajmy, * z aniołami zaśpiewajmy:
„Chwała na wysokości”."
Wesel się, Królowo;8;Pieśni na Wielkanoc;1135;F;0/0/0/0/1/0;
Wesołą nowinę;6;Pieśni na Boże Narodzenie;1139;D;0/0/0/0/0/0;"1.
Wesołą nowinę, bracia słuchajcie, * niebieską Dziecinę ze mną witajcie.
*
Jak miła ta nowina! * Mów, gdzie jest ta Dziecina? * Byśmy tam pobieżeli i ujrzeli.
*
2.
Bogu chwałę wznoszą na wysokości, * pokój ludziom głoszą duchy światłości.
*
Jak miła ta nowina…
3.
Panna nam powiła Boskie Dzieciątko, * pokłonem uczciła to Niemowlątko.
*
Jak miła ta nowina…"
Wesoły nam dzień;8;Pieśni na Wielkanoc;1140;G;1/0/0/0/0/Procesja;
Wielbię Ciebie;1;Pieśni do Najświętszego Sakramentu;1151;C;0/0/0/1/0/0;"Wielbię Ciebie w każdym momencie
O, Żywy Chlebie nasz, w tym Sakramencie"
Wisi na krzyżu;7;Pieśni na Wielki Post;1165;A;0/0/1/0/0/0;"1.
Wisi na krzyżu Pan, Stwórca nieba
płakać za grzechy, człowiecze, potrzeba
ach, ach, na krzyżu umiera
Jezus oczy swe zawiera!
2.
Najświętsze członki i wszystko ciało
okrutnie zbite na krzyżu wisiało
Ach, ach, dla ciebie, człowiecze
z boku krew Jezusa ciecze!
3.
Ostrą koroną skronie zranione
język zapiekły i usta spragnione
Ach, ach, dla mojej swawoli
Jezus umiera i boli!
4.
Woła i kona, łzy z oczu leje
pod krzyżem Matka Bolesna truchleje
Ach, ach, sprośne złości moje
sprawiły te niepokoje!"
Witaj pokarmie;1;;1168;d;0/0/1/0/0/0;"1.
Witaj, Pokarmie, w którym niezmierzony
nieba i ziemi Twórca jest zamkniony,
witaj, Napoju zupełnie gaszący
umysł pragnący.
2.
Witaj, Krynico wszystkiego dobrego
gdy bowiem w sobie masz Boga samego
z Nim ludziom wszystkie Jego wszechmocności
niesiesz godności.
3.
Witaj, z niebiosów Manno padająca,
rozkoszny w sercu naszym smak czyniąca:
wszystko na świecie co tylko smakuje,
w tym się znajduje.
4.
Witaj, rozkoszne z ogrodu rajskiego
Drzewo owocu pełne żywiącego:
kto Cię skosztuje śmierci się nie boi,
choć nad nim stoi. "
Witaj, Chrystusowe ciało;1;Pieśni mszalne;0;D;0/0/1/0/0/0;"Witaj, Chrystusowe Ciało
Z Panny świętej narodzone
Coś na krzyżu życie dało
Chociaż z Bóstwem połączone

Witaj, Krwi Bożego Syna
Na zbawienie dusz przelana
Któraś z boku wytrysnęła
Najświętszego mego Pana"
Witaj, Królowo, Matko litości;2;Nabożeństwa;1176;D;0/0/0/0/0/Pogrzebowo;"1.
Witaj, Królowo, Matko litości
Nadziejo nasza, życia słodkości
Witaj, Maryjo, Matko jedyna
Matko nas, ludzi, Salve Regina
2.
Nędzne my dzieci Ewy wołamy
Do Ciebie, Matko, z płaczem wzdychamy
Niech nas wspomaga Twoja przyczyna
Na tym padole, Salve Regina
3.
Zwróć, Pośredniczko, na nas wejrzenie
Przyjmij łaskawie nasze westchnienie
Pokaż nam, Matko, swojego Syna
W górnej krainie, Salve Regina"
Witaj, święta i poczęta;3;Pieśni ku czci NMP;1184;D;1/0/0/0/0/0;"1.
Witaj, Święta i Poczęta Niepokalanie
Maryja, śliczna lilija, nasze kochanie
Witaj, czysta Panienko, najjaśniejsza Jutrzenko
Witaj, Święta, Wniebowzięta, Niepokalana
2.
Swą pięknością, niewinnością w niebie górujesz
w dostojeństwie i panieństwie wszystkim celujesz
w pierwszym, Panno, momencie święte Twoje Poczęcie
jaśniejące jako słońce, Niepokalana
3.
Sam Bóg Święty z Ciebie wzięty dla tej przyczyny
żeś się stała i została zawsze bez winy
Tyś przed wieki przejrzana i za Matkę wybrana
Jezusowi Chrystusowi, Niepokalana
4.
My też sławiąc, błogosławiąc, Ciebie prosimy
niech czystymi, niewinnymi zawsze będziemy
Za to życie dajemy i mocno wyznajemy
żeś jest Święta i poczęta, Niepokalana"
Wjeżdża Król nasz;7;Śpiewy na Wielki Post;0;Es;1/0/0/0/0/Niedziela Palmowa;"1.
Wjeżdża Król nasz, Jezus cichy, do Jerozolimy, 
hołd Mu składa lud pobożny, Jego lud rodzimy.
*
Hosanna, hosanna Synowi Bożemu! 
Hosanna, hosanna, cześć Zbawcy naszemu!
2.
Brzmi: „Hosanna, witaj, Zbawco, wnijdź błogosławiony,
w imię Pańskie wchodzisz do nas”, brzmi na wszystkie strony.
*
Hosanna, hosanna Synowi Bożemu…
3.
Bądźże tedy pozdrowiony, Boże nasz i Panie
przyjmij od nas modły, hołdy, pobożne śpiewanie.
*
Hosanna, hosanna Synowi Bożemu…
4.
Przyjmij od nas za Twą mękę korne dziękczynienie
chwała Ci po wszystkie czasy, miłość, uwielbienie.
*
Hosanna, hosanna Synowi Bożemu…"
Wstał Pan Chrystus;8;Pieśni na Wielkanoc;1196;C;0/1/0/0/0/0;
Wszystkie nasze dzienne sprawy;2;Pieśni przygodne;1203;D;0/0/0/0/1/0;"1.
Wszystkie nasze dzienne sprawy,
przyjm litośnie, Boże prawy,
a gdy będziem zasypiali,
niech Cię nawet sen nasz chwali.
2.
Twoje oczy obrócone
dzień i noc patrzą w tę stronę,
gdzie niedołężność człowieka
Twojego ratunku czeka.
3.
Odwracaj nocne przygody,
od wszelakiej broń nas szkody.
Miej nas wiecznie w swojej pieczy,
Stróżu i Sędzio człowieczy.
4.
A gdy niebo już osiądziem,
Tobie wspólnie śpiewać będziem,
Boże w Trójcy niepojęty,
Święty, na wiek wieków Święty."
Wszystko Tobie oddać pragnę;1;Pieśni przygodne;1205;C;1/1/1/1/0/0;"1.
Wszystko Tobie oddać pragnę
I dla Ciebie tylko żyć
Chcę Cię, Jezu, kochać wiernie
Dzieckiem Twoim zawsze być
*
Serce moje weź
Niech Twą śpiewa cześć
Serce moje, duszę moją
Panie Jezu weź
2.
Wszystko Tobie oddać pragnę
Od najmłodszych moich lat
Pomóż, Jezu, by mnie nie zwiódł
Pokusami swymi świat
*
Serce moje weź..."
Wśród nocnej ciszy;6;Pieśni na Boże Narodzenie;1194;F;0/0/0/0/0/0;"1.
Wśród nocnej ciszy głos się rozchodzi: * „Wstańcie pasterze, Bóg się wam rodzi. 
Czym prędzej się wybierajcie, * do Betlejem pośpieszajcie * przywitać Pana”.
2.
Poszli, znaleźli Dzieciątko w żłobie * z wszystkimi znaki, danymi sobie. 
Jako Bogu cześć Mu dali, * a witając zawołali * z wielkiej radości:
3.
„Ach witaj, Zbawco z dawna żądany, * tyle tysięcy lat wyglądany! 
Na Ciebie króle, prorocy * czekali, a Tyś tej nocy * nam się objawił”.
4.
I my czekamy na Ciebie, Pana, * a skoro przyjdziesz na głos kapłana, 
padniemy na twarz przed Tobą, * wierząc, żeś jest pod osłoną * chleba i wina."
